UID         PID   PPID  C STIME TTY          TIME CMD
dbus        684      1  0 15:34 ?        00:00:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
rpc         685      1  0 15:34 ?        00:00:00 /sbin/rpcbind -w
root        697      1  0 15:34 ?        00:00:00 /usr/sbin/abrtd -d -s
root        698      1  0 15:34 ?        00:00:00 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
avahi       700      1  0 15:34 ?        00:00:00 avahi-daemon: running [linux.local]
root        702      1  0 15:34 ?        00:00:00 /usr/libexec/accounts-daemon
root        709      1  0 15:34 ?        00:00:00 /usr/sbin/smartd -n -q never
root        710      1  0 15:34 ?        00:00:00 /usr/libexec/udisks2/udisksd
libstor+    712      1  0 15:34 ?        00:00:00 /usr/bin/lsmd -d
avahi       713    700  0 15:34 ?        00:00:00 avahi-daemon: chroot helper
root        717      1  0 15:34 ?        00:00:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
root        718      1  0 15:34 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        719      1  0 15:34 ?        00:00:00 /usr/bin/VGAuthService -s
root        721      1  0 15:34 ?        00:00:18 /usr/bin/vmtoolsd
root        723      1  0 15:34 ?        00:00:00 /usr/sbin/gssproxy -D
rtkit       725      1  0 15:34 ?        00:00:00 /usr/libexec/rtkit-daemon
polkitd     728      1  0 15:34 ?        00:00:06 /usr/lib/polkit-1/polkitd --no-debug
root        729      1  0 15:34 ?        00:00:01 /sbin/rngd -f
